,id,keyword,text,target
4290,6094,hellfire,#Allah describes piling up #wealth thinking it would last #forever as the description of the people of #Hellfire in Surah Humaza. #Reflect,0
6366,9098,suicide%20bomb,#Bestnaijamade: 16yr old PKK suicide bomber who detonated bomb in ... http://t.co/KSAwlYuX02 bestnaijamade bestnaijamade bestnaijamade beÛ_,1
2822,4057,displaced,#KCA #VoteJKT48ID 12News: UPDATE: A family of 3 has been displaced after fired damaged housed near 90th and Osborn. Fire extinguished no iÛ_,1
2816,4049,displaced,#Myanmar  Displaced #Rohingya at #Sittwe point of no return http://t.co/cgf61fPmR0  #Prison like conditions #genocide IHHen MSF Refugees,1
1725,2488,collided,#Newswatch: 2 vehicles collided at Lock and Lansdowne Sts in #Ptbo. Emerg crews on their way,1
3790,5382,fire%20truck,#SigAlert: North &amp; Southbound 133 closed btwn 5 fwy and Irvine Blvd due to truck fire. CHP is detouring traffic.,1
1251,1807,buildings%20on%20fire,#TweetLikeItsSeptember11th2001 Those two buildings are on fire,1
4239,6023,hazardous,#foodscare #offers2go #NestleIndia slips into loss after #Magginoodle #ban unsafe and hazardous for #humanconsumption,1
7097,10169,violent%20storm,#stormchase Violent Record Breaking EF-5 El Reno Oklahoma Tornado Nearly Runs Over ... - http://t.co/3SICroAaNz http://t.co/I27Oa0HISp,1
6434,9207,suicide%20bombing,'Suicide bombing at [location named]...' #premonitions http://t.co/iIkSsJGBDn,1
7034,10080,typhoon,(#LosDelSonido) Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Ma...  (#IvanBerroa),1
2833,4077,displaced,.POTUS #StrategicPatience is a strategy for #Genocide; refugees; IDP Internally displaced people; horror; etc. https://t.co/rqWuoy1fm4,1
3589,5127,fatal,11-Year-Old Boy Charged With Manslaughter of Toddler: Report: An 11-year-old boy has been charged with manslaughter over the fatal sh...,1
119,172,aftershock,320 [IR] ICEMOON [AFTERSHOCK] | http://t.co/THyzOMVWU0 | @djicemoon | #Dubstep #TrapMusic #DnB #EDM #Dance #IcesÛ_ http://t.co/83jOO0xk29,0
2679,3841,detonate,@TinyJecht Are you another Stand-user? If you are I will have to detonate you with my Killer Queen.,0
1201,1727,buildings%20burning,@_minimehh @cjoyner I must be overlooking the burning buildings? #BlackLivesMatter,1
7315,10470,wild%20fires,@aria_ahrary @TheTawniest The out of control wild fires in California even in the Northern part of the state. Very troubling.,1
3382,4844,evacuation,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0
1335,1929,burning%20buildings,@fewmoretweets all lives matter. Just not a fan of burning down buildings and stealing from your neighbors to 'protest',1
2651,3806,detonate,@spinningbot Are you another Stand-user? If you are I will have to detonate you with my Killer Queen.,0
1343,1941,burning%20buildings,@themagickidraps not upset with a rally upset with burning buildings businesses executing cops that have nothing to do with it etc,1
4291,6096,hellfire,Beware of your temper and a loose tongue! These two dangerous weapons combined can lead a person to the Hellfire #islam!,0
1222,1761,buildings%20burning,Burning buildings? Media outrage? http://t.co/pHixZnv1YN,1
4597,6537,injury,CLEARED:incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1
4232,6012,hazardous,Caution: breathing may be hazardous to your health.,1
40,59,ablaze,Check these out: http://t.co/rOI2NSmEJJ http://t.co/3Tj8ZjiN21 http://t.co/YDUiXEfIpE http://t.co/LxTjc87KLS #nsfw,0
3374,4832,evacuation,"Elem Pomo helping the displaced from the Rocky Fire. Please consider!
Elem Evacuation Center http://t.co/dYDFvz7amj via @gofundme",1
3388,4850,evacuation,Evacuation order lifted for town of Roosevelt: http://t.co/EDyfo6E2PU http://t.co/M5KxLPKFA1,1
164,238,airplane%20accident,Experts in France begin examining airplane debris found on Reunion Island: French air accident experts on Wednesday began examining t...,1
5292,7559,outbreak,Families to sue over Legionnaires: More than 40 families affected by the fatal outbreak of Legionnaires' disease in Edinburgh are to ...,1
2345,3373,demolition,General News Û¢åÊ'Demolition of houses on waterways begins at Achimota Mile 7 ' via @233liveOnline. Full story at http://t.co/iO7kUUg1uq,0
3240,4656,engulfed,He came to a land which was engulfed in tribal war and turned it into a land of peace i.e. Madinah. #ProphetMuhammad #islam,0
4285,6088,hellfire,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife,0
4294,6099,hellfire,Hellfire is surrounded by desires so be careful and donÛªt let your desires control you! #Afterlife #islam,0
4306,6113,hellfire,Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it #islam!,0
4310,6119,hellfire,Hellfire! We donÛªt even want to think about it or mention it so letÛªs not do anything that leads to it!,0
1214,1752,buildings%20burning,I Pledge Allegiance To The P.O.P.E. And The Burning Buildings of Epic City. ??????,0
1332,1924,burning%20buildings,I'm mentally preparing myself for a bomb ass school year if it's not I'm burning buildings ??,0
6614,9470,terrorism,In #islam saving a person is equal in reward to saving all humans! Islam is the opposite of terrorism!,0
1156,1665,bombing,Japan on Thursday marks the 70th anniversary of the atomic bombing of Hiroshima with the most senior official from Washington ever scheduleÛ_,1
7140,10229,volcano,M1.94 [01:04 UTC]?5km S of Volcano Hawaii. http://t.co/zDtoyd8EbJ,1
2439,3503,derailment,Madhya Pradesh Train Derailment: Village Youth Saved Many Lives,1
2452,3520,derailment,Madhya Pradesh Train Derailment: Village Youth Saved Many Lives: A group of villagers saved over 70 passengers' lives after two train...,1
1331,1922,burning%20buildings,Mmmmmm I'm burning.... I'm burning buildings I'm building.... Oooooohhhh oooh ooh...,0
3390,4853,evacuation,New evacuation ordered for 25 homes in danger of Hwy. 8 fire near Roosevelt Wash. http://t.co/SQsyUeh4yI #KOIN6News http://t.co/199t7ND0pm,1
1703,2458,collided,Police investigating after an e-bike collided with a car in Little Portugal. E-bike rider suffered serious non-life threatening injuries.,1
6656,9539,terrorist,RT AbbsWinston: #Zionist #Terrorist kidnapped 15 #Palestinians in overnight terror on Palestinian Villages Û_ http://t.co/J5mKcbKcov,1
4381,6223,hijacker,RT NotExplained: The only known image of infamous hijacker D.B. Cooper. http://t.co/JlzK2HdeTG,1
1360,1962,burning%20buildings,Schools in Western Uganda still Burning down Buildings during Strikes....Strikes in Western Uganda always Lit literally..,1
5742,8196,riot,Stuart Broad Takes Eight Before Joe Root Runs Riot Against Aussies,0
4341,6165,hijack,Swansea Û÷plot hijack transfer move for Southampton target Virgil van DijkÛª http://t.co/PVmr38LnvA,1
4304,6111,hellfire,The Prophet (peace be upon him) said 'Save yourself from Hellfire even if it is by giving half a date in charity.',0
634,916,bioterrorism,To fight bioterrorism sir.,0
2799,4026,disaster,Top insurer blasts lack of Australian Govt action on disaster mitigation http://t.co/sDgOUtWNtb via @smh,1
1771,2544,collision,Traffic Collision - No Injury: I5 S at I5 S 43rd Ave offramp South Sac http://t.co/cT9ejXoLpu,1
4601,6543,injury,Traffic Collision - No Injury: I5 S at I5 S 43rd Ave offramp South Sac http://t.co/cT9ejXoLpu,1
5665,8084,rescue,UD: Rescue (Structural Collapse) - Scott Road @ Ypres Road York (14 Trucks),1
7135,10220,volcano,USGS reports a M1.94 #earthquake 5km S of Volcano Hawaii on 8/6/15 @ 1:04:01 UTC http://t.co/Njd28pg9Xv #quake,1
3046,4373,earthquake,USGS reports a M1.94 #earthquake 5km S of Volcano Hawaii on 8/6/15 @ 1:04:01 UTC http://t.co/Njd28pg9Xv #quake,1
5723,8168,rescuers,VIDEO: 'We're picking up bodies from water': Rescuers are searching for hundreds of migrants in the Mediterranean after a boat carryi...,1
1172,1689,bridge%20collapse,Warne shocked over Australia's epic collapse at Trent Bridge: Johannesburg Aug 06 (ANI): Legendary Australian... http://t.co/LwwoJXtTIV,1
1623,2346,collapse,Warne shocked over Australia's epic collapse at Trent Bridge: Johannesburg Aug 06 (ANI): Legendary Australian... http://t.co/LwwoJXtTIV,1
4013,5699,floods,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America He is plaguing her
 
#FARRAKHAN #QUOTE",0
7537,10776,wreckage,Wreckage 'Conclusively Confirmed' as From MH370: Malaysia PM,1
7026,10071,typhoon,abcnews - Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern... http://t.co/mg5eAJElul,1
2736,3933,devastated,abcnews - Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern... http://t.co/mg5eAJElul,1
4827,6874,mass%20murder,http://t.co/c1H7JECFrV @RoyalCarribean do your passengers know about the mass murder that takes place in the #FaroeIslands every year?,1
4623,6571,injury,incident with injury:I-495  inner loop Exit 31 - MD 97/Georgia Ave Silver Spring,1
1349,1950,burning%20buildings,like for the music video I want some real action shit like burning buildings and police chases not some weak ben winston shit,0
3449,4931,exploded,"that exploded &amp; brought about the
beginning of universe matches what's
mentioned in the versethe heaven and Earth
(thus the universe)",0
6094,8702,sinking,that horrible sinking feeling when youÛªve been at home on your phone for a while and you realise its been on 3G this whole time,0
5620,8018,refugees,wowo--=== 12000 Nigerian refugees repatriated from Cameroon,1
